date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2019-05-16,00771,2324000,46539460,20.0,20.07,20.0,20.07,-0.05,723
2019-05-17,00771,1653000,33490490,20.13,20.32,20.13,20.3,0.23,387
2019-05-20,00771,271000,5509970,20.33,20.35,20.32,20.34,0.04,100
2019-05-21,00771,196000,3979530,20.32,20.33,20.27,20.33,-0.01,62
2019-05-22,00771,176500,3606100,20.35,20.45,20.35,20.45,0.12,60
2019-05-23,00771,772000,15818790,20.44,20.54,20.43,20.47,0.02,140
2019-05-24,00771,212000,4339680,20.47,20.5,20.45,20.46,-0.01,66
2019-05-27,00771,142000,2900240,20.45,20.45,20.4,20.4,-0.06,56
2019-05-28,00771,282000,5753100,20.4,20.41,20.38,20.4,0.0,48
2019-05-29,00771,207000,4222470,20.4,20.41,20.39,20.39,-0.01,44
2019-05-30,00771,366000,7487930,20.4,20.48,20.4,20.46,0.07,57
2019-05-31,00771,355000,7260410,20.46,20.48,20.44,20.45,-0.01,66
2019-06-03,00771,381000,7738130,20.36,20.36,20.26,20.32,-0.13,83
2019-06-04,00771,346000,7022350,20.32,20.32,20.27,20.3,-0.02,46
2019-06-05,00771,341000,6941760,20.37,20.38,20.35,20.38,0.08,44
2019-06-06,00771,364000,7415590,20.38,20.39,20.37,20.37,-0.01,41
2019-06-10,00771,487000,9957880,20.4,20.49,20.4,20.49,0.12,48
2019-06-11,00771,293000,6001390,20.49,20.5,20.47,20.48,-0.01,35
2019-06-12,00771,344000,7032140,20.45,20.46,20.43,20.44,-0.04,28
2019-06-13,00771,368000,7524890,20.45,20.45,20.4,20.45,0.01,25
2019-06-14,00771,463000,9495510,20.49,20.54,20.48,20.53,0.08,50
2019-06-17,00771,306000,6295090,20.58,20.6,20.57,20.57,0.04,36
2019-06-18,00771,296000,6094990,20.58,20.61,20.58,20.59,0.02,34
2019-06-19,00771,434000,8953980,20.64,20.65,20.59,20.65,0.06,34
2019-06-20,00771,374000,7686950,20.61,20.61,20.52,20.52,-0.13,84
2019-06-21,00771,739000,15147420,20.51,20.51,20.48,20.48,-0.04,136
2019-06-24,00771,367000,7508950,20.46,20.48,20.4,20.46,-0.02,36
2019-06-25,00771,257000,5255640,20.44,20.45,20.44,20.45,-0.01,17
2019-06-26,00771,313000,6404960,20.48,20.48,20.45,20.45,0.0,39
2019-06-27,00771,280000,5726080,20.45,20.47,20.44,20.47,0.02,27
2019-06-28,00771,252000,5143180,20.43,20.43,20.4,20.42,-0.05,29
2019-07-01,00771,393000,8008700,20.42,20.42,20.35,20.41,-0.01,57
2019-07-02,00771,229000,4673730,20.4,20.42,20.39,20.42,0.01,24
2019-07-03,00771,301000,6170200,20.46,20.51,20.46,20.5,0.08,27
2019-07-04,00771,279000,5727870,20.55,20.55,20.52,20.53,0.03,25
2019-07-05,00771,310000,6372420,20.54,20.56,20.53,20.56,0.03,30
2019-07-08,00771,329000,6764830,20.56,20.58,20.55,20.57,0.01,42
2019-07-09,00771,574000,11805220,20.57,20.59,20.55,20.58,0.01,65
2019-07-10,00771,421000,8660710,20.58,20.58,20.56,20.57,-0.01,47
2019-07-11,00771,425000,8729050,20.58,20.58,20.53,20.53,-0.04,40
2019-07-12,00771,331000,6802350,20.55,20.57,20.54,20.55,0.02,26
2019-07-15,00771,583000,11980510,20.58,20.58,20.53,20.54,-0.01,48
2019-07-16,00771,364000,7485930,20.54,20.58,20.54,20.56,0.02,39
2019-07-17,00771,209000,4301180,20.58,20.58,20.56,20.58,0.02,9
2019-07-18,00771,438000,9042930,20.58,20.67,20.58,20.66,0.08,41
