Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13,39.95,39.95,39.94,39.94,39.94,103000
2019-06-14,39.96,39.98,39.96,39.98,39.98,382000
2019-06-17,39.99,39.99,39.98,39.99,39.99,118000
2019-06-18,40.05,40.05,40.03,40.03,40.03,104000
2019-06-19,40.03,40.03,39.98,39.98,39.98,103000
2019-06-20,39.97,40.0,39.97,40.0,40.0,112000
2019-06-21,39.96,39.98,39.94,39.98,39.98,105000
2019-06-24,40.01,40.01,40.01,40.01,40.01,100000
2019-06-25,40.0,40.0,40.0,40.0,40.0,100000
2019-06-26,39.98,39.98,39.98,39.98,39.98,100000
2019-06-27,40.0,40.0,40.0,40.0,40.0,101000
2019-06-28,39.95,39.95,39.92,39.94,39.94,102000
2019-07-01,40.01,40.03,40.0,40.03,40.03,101000
2019-07-02,40.03,40.03,40.03,40.03,40.03,100000
2019-07-03,40.02,40.02,39.95,39.95,39.95,111000
2019-07-04,39.99,39.99,39.99,39.99,39.99,100000
2019-07-05,40.0,40.01,40.0,40.01,40.01,103000
2019-07-08,39.99,40.01,39.99,40.01,40.01,101000
2019-07-09,40.01,40.03,40.01,40.01,40.01,112000
2019-07-10,40.04,40.04,40.02,40.02,40.02,101000
2019-07-11,40.05,40.06,40.04,40.06,40.06,104000
2019-07-12,40.05,40.06,40.05,40.06,40.06,101000
2019-07-15,40.05,40.05,40.05,40.05,40.05,100000
2019-07-16,40.04,40.06,40.04,40.06,40.06,100000
2019-07-17,40.06,40.06,40.05,40.05,40.05,100000
2019-07-18,40.03,40.04,40.03,40.04,40.04,100000
2019-07-19,40.04,40.04,40.02,40.02,40.02,100000
2019-07-22,40.0,40.01,40.0,40.01,40.01,100000
2019-07-23,40.05,40.06,40.05,40.05,40.05,101000
2019-07-24,40.04,40.04,40.03,40.04,40.04,101000
2019-07-25,40.03,40.05,40.02,40.02,40.02,102000
2019-07-26,40.07,40.07,40.06,40.06,40.06,108000
2019-07-29,40.05,40.05,40.05,40.05,40.05,101000
2019-07-30,40.0,40.01,40.0,40.01,40.01,100000
2019-07-31,40.05,40.05,40.05,40.05,40.05,110000
2019-08-01,40.03,40.03,40.03,40.03,40.03,100000
2019-08-02,39.95,39.95,39.95,39.95,39.95,100000
2019-08-05,39.9,39.9,39.54,39.71,39.71,125000
2019-08-06,39.72,39.72,39.72,39.72,39.72,100000
2019-08-07,39.72,39.72,39.7,39.7,39.7,101000
2019-08-08,39.6,39.6,39.56,39.56,39.56,101000
2019-08-12,39.6,39.6,39.6,39.6,39.6,100000
2019-08-13,39.58,39.59,39.58,39.59,39.59,101000
2019-08-14,39.82,39.82,39.82,39.82,39.82,100000
2019-08-15,39.89,39.93,39.89,39.92,39.92,111000
2019-08-16,39.92,39.92,39.92,39.92,39.92,100000
2019-08-19,39.76,39.76,39.69,39.69,39.69,101000
2019-08-20,39.74,39.76,39.74,39.76,39.76,101000
2019-08-21,39.75,39.75,39.75,39.75,39.75,100000
2019-08-22,39.73,39.75,39.7,39.7,39.7,101000
2019-08-23,39.68,39.7,39.68,39.7,39.7,100000
2019-08-26,39.49,39.49,39.47,39.49,39.49,151000
2019-08-27,39.39,39.39,39.36,39.36,39.36,102000
2019-08-28,39.3,39.3,39.3,39.3,39.3,102000
2019-08-29,39.4,39.43,39.4,39.43,39.43,100000
2019-08-30,39.42,39.42,39.41,39.41,39.41,100000
2019-09-02,39.27,39.27,39.22,39.27,39.27,105000
2019-09-03,39.2,39.2,39.15,39.19,39.19,101000
2019-09-04,39.21,39.23,39.21,39.23,39.23,102000
2019-09-05,39.33,39.33,39.33,39.33,39.33,100000
2019-09-06,39.24,39.24,39.24,39.24,39.24,100000
2019-09-09,39.29,39.3,39.25,39.3,39.3,102000
2019-09-10,39.47,39.47,39.47,39.47,39.47,100000
2019-09-11,39.41,39.46,39.41,39.44,39.44,102000
2019-09-12,39.5,39.5,39.48,39.48,39.48,100000
2019-09-16,39.34,39.34,39.31,39.33,39.33,103000
2019-09-17,39.32,39.32,39.3,39.3,39.3,100000
2019-09-18,39.21,39.21,39.2,39.2,39.2,100000
2019-09-19,39.16,39.16,39.08,39.08,39.08,102000
