資料日期,代號,名稱,收盤,漲跌,開盤,最高,最低,成交股數,成交金額,成交筆數,最後買價,最後賣價,發行股數,次日漲停價,次日跌停價
"1120406","00679B","元大美債20年","32.89","+1.14","32.69","32.90","32.65","45528000","1492031320","11968","32.88","32.89","2150192000","9999.95","0.01"
"1120406","00687B","國泰20年美債","34.46","+1.18","34.40","34.47","34.30","6010000","206743430","933","34.45","34.46","334787000","9999.95","0.01"
"1120406","00694B","富邦美債1-3","38.86","+0.30","38.80","38.89","38.76","956000","37119870","51","38.85","38.86","114576000","9999.95","0.01"
"1120406","00695B","富邦美債7-10","35.46","+0.82","35.34","35.48","35.34","198000","7020310","33","35.42","35.49","22686000","9999.95","0.01"
"1120406","00696B","富邦美債20年","34.90","+1.24","34.70","34.93","34.70","2519000","87837480","440","34.89","34.90","655181000","9999.95","0.01"
"1120406","00697B","元大美債7-10","36.53","+0.79","36.38","36.55","36.38","1323000","48237460","93","36.53","36.54","14212000","9999.95","0.01"
"1120406","00718B","富邦中國政策債","20.03","+0.06","20.07","20.07","20.03","8000","160320","8","19.97","20.01","620501000","9999.95","0.01"
"1120406","00719B","元大美債1-3","30.82","+0.23","30.78","30.86","30.77","1234000","38008710","166","30.82","30.83","214514000","9999.95","0.01"
"1120406","00720B","元大投資級公司債","35.44","+0.97","35.20","35.46","35.19","12668000","447737130","3698","35.44","35.45","1603109000","9999.95","0.01"
"1120406","00721B","元大中國債3-5","45.45","+0.02","45.66","45.66","45.45","118000","5363550","9","45.34","45.57","4622000","9999.95","0.01"
"1120406","00722B","群益15年IG電信債","38.76","+1.06","38.52","38.76","38.46","686000","26517450","94","38.74","38.76","991239000","9999.95","0.01"
"1120406","00723B","群益15年IG科技債","34.45","+0.94","34.26","34.46","34.26","142000","4891450","23","34.44","34.45","1254083000","9999.95","0.01"
"1120406","00724B","群益10年IG金融債","33.91","+0.88","33.62","33.93","33.62","945000","31979820","133","33.90","33.91","2503275000","9999.95","0.01"
"1120406","00725B","國泰投資級公司債","37.05","+0.83","36.88","37.06","36.65","6528000","241324440","1030","37.05","37.06","1842206000","9999.95","0.01"
"1120406","00726B","國泰5Y+新興債","33.68","+0.40","33.60","33.69","33.59","574000","19318270","73","33.68","33.69","1127989000","9999.95","0.01"
"1120406","00727B","國泰1-5Y非投等債","37.38","+0.37","37.21","37.38","37.21","196000","7317800","31","37.37","37.38","87689000","9999.95","0.01"
"1120406","00734B","台新JPM新興債","15.71","+0.12","15.67","15.72","15.67","1091000","17138420","52","15.70","15.72","29979000","9999.95","0.01"
"1120406","00740B","富邦全球投等債","39.88","+0.91","39.50","39.89","39.48","1483000","59051900","202","39.88","39.89","897471000","9999.95","0.01"
"1120406","00741B","富邦全球非投等債","36.22","+0.42","36.25","36.25","36.15","147000","5318700","20","36.14","36.23","8628000","9999.95","0.01"
"1120406","00744B","國泰中國政金債5+","43.06","+0.06","42.96","43.06","42.96","101000","4348960","3","43.00","43.02","25228000","9999.95","0.01"
"1120406","00746B","富邦A級公司債","37.25","+0.89","37.29","37.29","37.20","123000","4582990","26","37.26","37.28","1868964000","9999.95","0.01"
"1120406","00749B","凱基新興債10+","32.17","+0.67","31.90","32.17","31.88","163000","5220880","19","32.08","32.12","942500000","9999.95","0.01"
"1120406","00750B","凱基科技債10+","35.34","+0.79","35.34","35.34","35.34","100000","3534000","2","35.32","35.34","125500000","9999.95","0.01"
"1120406","00751B","元大AAA至A公司債","35.58","+1.02","35.29","35.60","35.23","8533000","302870890","2390","35.57","35.58","2041103000","9999.95","0.01"
"1120406","00754B","群益AAA-AA公司債","37.88","+1.04","37.94","37.94","37.86","360000","13634640","31","37.86","37.87","321900000","9999.95","0.01"
"1120406","00755B","群益15年IG公用債","35.36","+1.19","35.25","35.38","35.23","1257000","44411530","82","35.36","35.37","147730000","9999.95","0.01"
"1120406","00756B","群益15年EM主權債","33.17","+0.73","33.00","33.17","33.00","202000","6692010","50","33.17","33.18","1107300000","9999.95","0.01"
"1120406","00758B","復華能源債","52.60","+1.55","52.60","52.60","52.60","100000","5260000","2","52.15","52.90","5525000","9999.95","0.01"
"1120406","00759B","復華製藥債","58.10","+1.45","57.15","58.10","57.15","287000","16434300","22","58.10","58.30","48025000","9999.95","0.01"
"1120406","00760B","復華新興企業債","52.90","+0.85","52.20","52.95","52.20","1094000","57668400","95","52.90","52.95","348020000","9999.95","0.01"
"1120406","00761B","國泰A級公司債","37.89","+1.06","37.71","37.89","37.64","774000","29272230","149","37.86","37.89","2135589000","9999.95","0.01"
"1120406","00764B","群益25年美債","34.40","+1.23","34.33","34.42","34.30","241000","8287390","44","34.38","34.40","679000000","9999.95","0.01"
"1120406","00765B","群益中國政金債","39.24","0.00","39.27","39.27","39.24","104000","4082000","6","39.20","39.25","1500000","9999.95","0.01"
"1120406","00768B","復華20年美債","58.20","+2.20","57.00","58.25","57.00","620000","35670700","60","58.10","58.20","313100000","9999.95","0.01"
"1120406","00772B","中信高評級公司債","36.35","+1.03","35.91","36.36","35.91","17231000","624843590","5013","36.34","36.35","2431790000","9999.95","0.01"
"1120406","00773B","中信優先金融債","36.18","+0.92","35.74","36.21","35.70","6068000","219055500","1125","36.18","36.19","2121290000","9999.95","0.01"
"1120406","00777B","凱基AAA至A公司債","35.89","+1.08","35.79","35.89","35.79","104000","3732390","6","35.89","35.93","1138150000","9999.95","0.01"
"1120406","00778B","凱基金融債20+","35.47","+0.94","35.32","35.47","35.32","104000","3683680","5","35.35","35.41","1288150000","9999.95","0.01"
"1120406","00779B","凱基美債25+","34.58","+1.25","34.35","34.60","34.35","114000","3939190","11","34.54","34.58","709650000","9999.95","0.01"
"1120406","00780B","國泰A級金融債","35.91","+0.56","35.70","35.92","35.66","2646000","94904910","440","35.91","35.92","249602000","9999.95","0.01"
"1120406","00781B","國泰A級科技債","33.69","+0.81","33.70","33.72","33.69","133000","4484070","5","33.69","33.72","3836000","9999.95","0.01"
"1120406","00782B","國泰A級公用債","33.54","+0.66","33.48","33.55","33.30","238000","7979120","47","33.52","33.54","6467000","9999.95","0.01"
"1120406","00784B","富邦中國投等債","36.35","+0.20","36.46","36.47","36.35","103000","3744800","7","36.26","36.37","2993000","9999.95","0.01"
"1120406","00785B","富邦金融投等債","34.92","+0.78","34.85","34.92","34.84","119000","4153410","12","34.88","34.89","754466000","9999.95","0.01"
"1120406","00786B","元大10年IG銀行債","33.48","+0.68","33.50","33.50","33.36","422000","14115690","42","33.47","33.48","10566000","9999.95","0.01"
"1120406","00787B","元大10年IG醫療債","35.53","+0.89","35.36","35.53","35.36","229000","8133670","20","35.52","35.53","7806000","9999.95","0.01"
"1120406","00788B","元大10年IG電能債","32.97","+1.02","32.84","33.01","32.84","334000","11002360","34","32.96","32.97","8706000","9999.95","0.01"
"1120406","00789B","復華公司債A3","53.55","+1.40","53.35","53.60","53.35","524000","28068650","27","53.55","53.60","90100000","9999.95","0.01"
"1120406","00790B","復華次順位金融債","52.95","+1.45","52.95","52.95","52.95","100000","5295000","2","52.65","53.10","2100000","9999.95","0.01"
"1120406","00791B","復華信用債1-5","52.90","+0.50","52.90","52.90","52.90","100000","5290000","4","52.70","53.00","254100000","9999.95","0.01"
"1120406","00792B","群益A級公司債","34.31","+1.03","34.23","34.32","34.23","112000","3842330","11","34.30","34.31","999615000","9999.95","0.01"
"1120406","00793B","群益AAA-A醫療債","34.28","+1.15","33.91","34.37","33.89","193000","6610540","21","34.28","34.29","3526000","9999.95","0.01"
"1120406","00794B","群益7+中國政金債","40.03","+0.10","40.02","40.03","40.02","102000","4083040","4","39.98","40.45","37687000","9999.95","0.01"
"1120406","00795B","中信美國公債20年","33.41","+1.15","33.17","33.44","33.15","2545000","84912310","543","33.41","33.42","344598000","9999.95","0.01"
"1120406","00799B","國泰A級醫療債","33.89","+0.53","34.04","34.04","33.83","230000","7792110","31","33.88","33.89","4036000","9999.95","0.01"
"1120406","00831B","新光美債1-3","37.70","+0.40","37.57","37.70","37.57","4000","150540","3","37.55","37.75","14100000","9999.95","0.01"
"1120406","00834B","第一金金融債10+","33.76","+0.46","33.54","33.78","33.54","112000","3780920","5","33.78","33.80","20698000","9999.95","0.01"
"1120406","00836B","永豐10年A公司債","31.35","+0.89","31.35","31.39","31.35","106000","3326150","8","31.35","31.36","410041000","9999.95","0.01"
"1120406","00840B","凱基IG精選15+","32.58","+0.96","32.58","32.58","32.58","100000","3258000","2","32.51","32.57","59431000","9999.95","0.01"
"1120406","00841B","凱基AAA-AA公司債","32.72","+0.98","32.72","32.72","32.72","102000","3337440","6","32.67","32.69","53940000","9999.95","0.01"
"1120406","00842B","台新美元銀行債","32.71","+0.79","32.79","32.79","32.71","118000","3868300","6","32.71","32.80","9267000","9999.95","0.01"
"1120406","00844B","新光15年IG金融債","32.37","+0.92","32.37","32.37","32.37","2000","64740","2","32.31","32.40","287175000","9999.95","0.01"
"1120406","00845B","富邦新興投等債","31.49","+0.65","31.48","31.49","31.48","101000","3179490","3","31.43","31.46","201551000","9999.95","0.01"
"1120406","00846B","富邦歐洲銀行債","33.23","+0.72","33.26","33.26","33.23","102000","3389490","6","33.15","33.19","88350000","9999.95","0.01"
"1120406","00847B","中信美國市政債","28.70","+0.90","28.68","28.74","28.68","244000","7006930","18","28.68","28.72","9805000","9999.95","0.01"
"1120406","00848B","中信新興亞洲債","34.32","+0.76","33.85","34.32","33.85","140000","4785360","14","34.26","34.28","147066000","9999.95","0.01"
"1120406","00849B","中信EM主權債0-5","35.73","+0.26","35.72","35.73","35.72","100000","3572500","4","35.70","35.72","526606000","9999.95","0.01"
"1120406","00853B","統一美債10年Aa-A","29.63","+0.79","29.54","29.64","29.54","992000","29391590","80","29.62","29.64","54134000","9999.95","0.01"
"1120406","00856B","永豐1-3年美公債","37.31","+0.31","37.27","37.33","37.27","108000","4030360","8","37.29","37.31","9292000","9999.95","0.01"
"1120406","00857B","永豐20年美公債","28.68","+0.99","28.56","28.70","28.56","901000","25800350","223","28.68","28.69","18268000","9999.95","0.01"
"1120406","00858","永豐美國500大","25.31","+0.21","25.19","25.33","25.19","386000","9771350","61","25.31","25.32","6374000","9999.95","0.01"
"1120406","00859B","群益0-1年美債","39.17","+0.15","39.15","39.17","39.15","102000","3995310","4","39.13","39.16","32011000","9999.95","0.01"
"1120406","00860B","群益1-5年IG債","36.99","+0.41","36.99","36.99","36.99","100000","3699000","2","37.03","37.05","3171000","9999.95","0.01"
"1120406","00862B","中信投資級公司債","32.47","+0.94","32.02","32.48","32.01","930000","30165430","117","32.47","32.48","500881000","9999.95","0.01"
"1120406","00863B","中信全球電信債","33.34","+0.85","33.30","33.34","33.29","136000","4529490","16","33.33","33.34","481464000","9999.95","0.01"
"1120406","00864B","中信美國公債0-1","40.80","+0.11","40.77","40.83","40.77","118000","4814240","11","40.78","40.83","47222000","9999.95","0.01"
"1120406","00867B","新光A-BBB電信債","32.73","+0.88","32.74","32.74","32.73","3000","98210","3","32.71","32.74","487150000","9999.95","0.01"
"1120406","00870B","元大15年EM主權債","30.16","+0.61","30.10","30.17","30.09","97000","2922540","13","30.17","30.18","408151000","9999.95","0.01"
"1120406","00877","復華中國5G","11.94","+0.92","11.09","11.94","11.02","9249000","107819500","1496","11.94","11.95","350788000","9999.95","0.01"
"1120406","00883B","中信ESG投資級債","32.04","+0.91","31.81","32.06","31.81","205000","6566800","9","32.01","32.04","8258000","9999.95","0.01"
"1120406","00884B","中信低碳新興債","31.07","+0.74","31.05","31.07","31.02","212000","6585240","7","31.03","31.09","26440000","9999.95","0.01"
"1120406","00886","永豐美國科技","20.01","-0.05","19.90","20.06","19.89","17000","339840","15","20.00","20.01","15951000","9999.95","0.01"
"1120406","00887","永豐中國科技50大","15.31","+0.11","15.40","15.43","15.31","45000","690740","19","15.30","15.34","17351000","9999.95","0.01"
"1120406","00888","永豐台灣ESG","13.86","0.00","13.80","13.86","13.75","3297000","45546660","1241","13.85","13.86","535478000","15.24","12.48"
"1120406","00890B","凱基ESG BBB債15+","33.47","+0.67","33.40","33.50","33.40","418000","13984430","98","33.46","33.48","18264000","9999.95","0.01"
"1120406","1240","茂生農經","45.35","+0.15","45.55","45.55","45.35","14000","635800","13","45.30","45.35","38598194","49.85","40.85"
"1120406","1258","其祥-KY","26.70","0.00","26.65","26.70","26.65","55000","1468200","19","26.70","26.85","36819791","29.35","24.05"
"1120406","1259","安心","73.80","-0.60","74.00","74.30","73.80","7000","518700","7","74.00","74.10","32389500","81.10","66.50"
"1120406","1264","德麥","271.00","+2.00","270.00","272.00","268.00","22000","5945000","21","270.00","270.50","37064367","298.00","244.00"
"1120406","1268","漢來美食","138.50","+2.00","137.00","139.00","136.00","179000","24622000","157","138.50","139.00","42723730","152.00","125.00"
"1120406","1336","台翰","26.25","-0.45","26.40","26.45","25.80","476000","12455900","268","26.20","26.25","78818419","28.85","23.65"
"1120406","1565","精華","257.50","-1.50","260.00","260.00","257.50","94000","24251500","85","257.50","258.00","50416516","283.00","232.00"
"1120406","1569","濱川","25.25","-0.15","25.40","25.55","25.20","252000","6380850","141","25.25","25.35","121447441","27.75","22.75"
"1120406","1570","力肯","17.90","0.00","17.90","18.05","17.90","54000","969700","34","17.90","17.95","51500839","19.65","16.15"
"1120406","1580","新麥","100.00","-1.50","101.50","101.50","99.90","183000","18385800","155","100.00","100.50","50230242","110.00","90.00"
"1120406","1584","精剛","31.30","+0.25","31.25","32.00","31.20","7727000","244251500","3618","31.30","31.40","152470533","34.40","28.20"
"1120406","1586","和勤","33.20","-0.05","33.25","33.30","32.50","174000","5717550","153","33.00","33.20","85898813","36.50","29.90"
"1120406","1591","駿吉-KY","27.20","-0.20","26.65","27.50","26.15","613000","16485050","269","27.15","27.20","34798047","29.90","24.50"
"1120406","1593","祺驊","74.50","-0.30","74.60","74.80","74.10","11000","819500","9","74.20","74.50","37309382","81.90","67.10"
"1120406","1595","川寶","39.30","0.00","39.30","39.40","39.30","25000","982800","19","39.25","39.30","47249134","43.20","35.40"
"1120406","1599","宏佳騰","38.85","+0.05","38.80","39.00","38.60","33000","1279350","26","38.75","38.85","74528764","42.70","35.00"
"1120406","1742","台蠟","15.00","0.00","15.05","15.10","15.00","215000","3235800","25","15.00","15.10","93559300","16.50","13.50"
"1120406","1777","生泰","83.10","0.00","82.30","83.50","82.10","42000","3468200","36","83.10","83.30","44591713","91.40","74.80"
"1120406","1781","合世","15.20","0.00","15.20","15.25","15.10","42000","637100","30","15.20","15.25","47407605","16.70","13.70"
"1120406","1784","訊聯","46.65","-0.30","47.40","47.65","46.60","843000","39730150","436","46.60","46.65","49626924","51.30","42.00"
"1120406","1785","光洋科","36.75","+0.20","37.15","37.85","36.75","2872000","106788600","1635","36.75","36.80","596876243","40.40","33.10"
"1120406","1788","杏昌","145.00","+0.50","144.50","145.50","144.50","23000","3338000","20","145.00","145.50","44520971","159.50","130.50"
"1120406","1796","金穎生技","103.00","+9.20","95.70","103.00","95.60","803000","81062700","608","103.00","0.00","41459793","113.00","92.70"
"1120406","1799","易威","20.00","+0.05","19.85","21.30","19.85","81000","1667800","49","19.90","20.00","114365775","22.00","18.00"
"1120406","1813","寶利徠","22.20","-0.35","22.25","22.40","22.15","68000","1510700","28","22.15","22.20","46635510","24.40","20.00"
"1120406","1815","富喬","12.05","-0.10","12.10","12.15","12.05","533000","6434100","206","12.05","12.10","441367438","13.25","10.85"
"1120406","02001B","統一美國政府債N","----","---","----","----","----","0","0","0","8.48","8.49","20000000","9999.95","0.01"
"1120406","02002L","兆豐富櫃200正二N","5.89","-0.04","5.88","5.94","5.83","591000","3503690","13","5.87","5.88","40000000","7.06","4.72"
"1120406","2035","唐榮","31.20","+0.10","31.10","31.20","31.10","4000","124700","4","30.90","31.35","350000000","34.30","28.10"
"1120406","2061","風青","21.20","-1.15","22.50","22.50","20.50","324000","6782450","175","21.15","21.20","46643174","23.30","19.10"
"1120406","2063","世鎧","45.05","+0.05","44.75","45.10","44.60","24000","1078100","18","45.00","45.10","49599530","49.55","40.55"
"1120406","2064","晉椿","19.25","0.00","19.05","19.40","19.05","10000","193050","10","19.25","19.40","69630000","21.15","17.35"
"1120406","2065","世豐","59.70","除息","59.50","59.80","58.70","1115000","66282500","379","59.60","59.70","51404620","65.60","53.80"
"1120406","2066","世德","88.20","+0.60","88.50","88.70","87.60","101000","8915400","83","88.10","88.20","40764110","97.00","79.40"
"1120406","2067","嘉鋼","11.30","+0.25","11.10","11.35","11.10","26000","290250","7","11.05","11.20","45138177","12.40","10.20"
"1120406","2070","精湛","37.10","-0.25","37.45","37.45","37.00","16000","595600","16","37.05","37.10","35782800","40.80","33.40"
"1120406","2221","大甲","43.75","0.00","44.10","44.20","43.60","78000","3417400","61","43.70","43.75","42325000","48.10","39.40"
"1120406","2230","泰茂","78.00","+1.80","75.60","78.50","75.60","504000","38994400","376","77.90","78.00","39913194","85.80","70.20"
"1120406","2235","謚源","45.90","-0.20","46.00","46.20","45.70","10000","459550","9","45.90","46.20","35878000","50.40","41.35"
"1120406","2596","綠意","21.60","+0.30","21.40","21.75","21.30","150000","3220200","87","21.55","21.60","100000000","23.75","19.45"
"1120406","2640","大車隊","114.50","-0.50","114.00","115.00","114.00","48000","5492500","42","114.00","114.50","59264956","125.50","103.50"
"1120406","2641","正德","20.10","+0.60","19.60","20.35","19.60","4892000","98238950","2231","20.05","20.10","239698286","22.10","18.10"
"1120406","2643","捷迅","76.70","+1.30","75.20","76.90","75.10","163000","12402800","129","76.50","76.70","30000000","84.30","69.10"
"1120406","2718","晶悅","49.10","+0.60","48.15","49.10","48.10","14000","679800","13","48.00","49.15","84576000","54.00","44.20"
"1120406","2719","燦星旅","50.90","-0.20","51.10","51.50","50.10","49000","2481000","39","50.10","50.50","68742100","55.90","45.85"
"1120406","2724","富驛-KY","----","---","----","----","----","0","0","0","0.00","15.00","59656345","16.50","13.50"
"1120406","2726","雅茗-KY","29.00","-0.35","29.60","29.60","29.00","71000","2072800","63","28.90","29.00","35785216","31.90","26.10"
"1120406","2729","瓦城","233.50","-1.00","232.50","235.00","230.50","70000","16309500","65","233.50","234.50","31304212","256.50","210.50"
"1120406","2732","六角","173.50","-5.00","178.00","178.50","173.50","490000","85879500","386","173.50","174.00","46447570","190.50","156.50"
"1120406","2734","易飛網","32.40","-1.10","32.90","32.95","32.05","221000","7172800","148","32.40","32.70","42259760","35.60","29.20"
"1120406","2736","富野","23.95","0.00","24.05","24.15","23.65","354000","8451100","206","23.85","24.00","48992383","26.30","21.60"
"1120406","2740","天蔥","47.95","+1.55","47.95","47.95","47.95","2000","95900","2","45.10","48.00","23185484","52.70","43.20"
"1120406","2743","山富","58.50","-1.40","59.30","59.30","58.50","514000","30241500","344","58.50","58.80","36031700","64.30","52.70"
"1120406","2745","五福","39.95","-0.45","40.40","40.40","39.90","61000","2442900","51","39.95","40.00","33808526","43.90","36.00"
"1120406","2752","豆府","263.50","+1.00","263.50","263.50","262.00","7000","1840000","7","260.00","262.50","26267382","289.50","237.50"
"1120406","2754","亞洲藏壽司","152.00","-5.00","159.50","159.50","152.00","710000","110703000","605","152.00","152.50","46715000","167.00","137.00"
"1120406","2755","揚秦","139.50","0.00","140.00","141.00","138.00","49000","6842500","47","139.00","140.00","22000000","153.00","126.00"
"1120406","2756","聯發國際","145.50","+0.50","146.50","148.00","145.00","26000","3797000","22","145.00","146.00","20452350","160.00","131.00"
"1120406","2916","滿心","32.20","-0.50","32.65","32.65","31.50","404000","12965750","267","32.20","32.25","54626878","35.40","29.00"
"1120406","2924","宏太-KY","36.50","0.00","36.50","36.50","36.50","1000","36500","1","32.90","36.00","32805174","40.15","32.85"
"1120406","2926","誠品生活","65.50","+2.00","63.50","66.40","63.50","46000","2993400","43","65.10","65.50","47389650","72.00","59.00"
"1120406","2937","集雅社","34.50","-0.35","34.55","34.55","34.45","10000","345000","10","34.45","34.50","37766058","37.95","31.05"
"1120406","2947","振宇五金","91.00","-0.80","91.00","91.00","91.00","3000","273000","2","91.00","91.80","19268600","100.00","81.90"
"1120406","3064","泰偉","----","---","----","----","----","0","0","0","13.25","14.35","43371502","15.40","12.60"
"1120406","3066","李洲","24.75","-0.35","25.30","25.30","24.70","56000","1387200","34","24.70","24.75","83070612","27.20","22.30"
"1120406","3067","全域","----","---","----","----","----","0","0","0","29.70","32.80","20000000","35.80","29.30"
"1120406","3071","協禧","27.50","+0.30","27.70","27.70","27.20","557000","15317550","322","27.50","27.55","110000000","30.25","24.75"
"1120406","3078","僑威","43.60","-0.70","44.25","44.25","41.55","6139000","264462150","3391","43.60","43.65","227391064","47.95","39.25"
"1120406","3081","聯亞","136.50","+4.00","133.00","137.00","132.50","2822000","380474500","1800","136.00","136.50","91867677","150.00","123.00"
"1120406","3083","網龍","43.50","-0.30","43.70","43.70","43.25","93000","4042800","74","43.50","43.75","86432358","47.85","39.15"
"1120406","3085","新零售","21.90","-0.05","21.90","21.90","21.90","5000","109500","2","21.00","21.90","29019288","24.05","19.75"
"1120406","3086","華義","74.90","+0.60","74.30","74.90","74.30","4000","299000","4","74.50","74.90","22274810","82.30","67.50"
"1120406","3088","艾訊","76.50","-0.30","77.00","77.00","74.00","2078000","156552900","1525","76.40","76.50","91629484","84.10","68.90"
"1120406","3089","億杰","53.60","-2.20","53.60","54.90","52.00","27000","1434800","22","52.40","53.60","65113314","58.90","48.25"
"1120406","3093","港建*","38.60","-1.10","39.70","39.70","38.40","1145000","44375950","755","38.60","38.65","145155576","42.45","34.75"
"1120406","3095","及成","27.80","-1.55","29.00","29.00","27.40","22000","617000","21","27.80","28.20","10000000","30.55","25.05"
"1120406","3105","穩懋","184.50","+2.00","182.50","186.00","181.00","5617000","1032241000","3534","184.50","185.00","423940384","202.50","166.50"
"1120406","3114","好德","27.25","+0.10","27.15","27.30","27.10","51000","1387800","34","27.20","27.35","62624800","29.95","24.55"
"1120406","3115","富榮綱","11.20","0.00","11.20","11.20","11.20","5000","56000","2","11.25","11.65","43697600","12.30","10.10"
"1120406","3118","進階","30.05","-0.30","30.45","30.65","29.80","28000","845200","21","30.10","30.20","32452860","33.05","27.05"
"1120406","3122","笙泉","27.40","0.00","27.65","27.65","27.10","207000","5668700","115","27.40","27.45","39418934","30.10","24.70"
"1120406","3128","昇銳","41.55","-0.15","41.70","41.90","41.20","263000","10901800","165","41.40","41.55","42000000","45.70","37.40"
"1120406","3131","弘塑","311.00","+2.50","305.00","313.00","304.00","169000","52293500","147","311.00","312.00","29216015","342.00","280.00"
"1120406","3141","晶宏","104.00","-1.50","105.00","105.00","101.50","1413000","145733500","992","104.00","104.50","75089628","114.00","93.60"
"1120406","3147","大綜","62.20","-0.10","62.10","62.40","61.60","99000","6144400","87","62.10","62.30","39006099","68.40","56.00"
"1120406","3152","璟德","234.50","0.00","234.50","239.00","229.00","149000","35121500","143","234.50","235.50","69016200","257.50","211.50"
"1120406","3162","精確","60.40","-0.10","60.80","60.90","59.30","2382000","143341600","1578","60.30","60.40","130937342","66.40","54.40"
"1120406","3163","波若威","56.70","+0.20","56.70","56.90","55.60","529000","29910100","350","56.60","56.70","75286899","62.30","51.10"
"1120406","3169","亞信","124.00","-0.50","124.00","125.00","122.00","360000","44386500","299","123.50","124.00","62426981","136.00","112.00"
"1120406","3171","新洲","18.10","+0.05","17.90","18.40","17.75","42000","755400","23","18.00","18.10","66703515","19.90","16.30"
"1120406","3176","基亞","32.45","-0.10","32.55","32.55","32.10","172000","5554400","93","32.45","32.50","139446255","35.65","29.25"
"1120406","3178","公準","81.10","+2.40","78.50","81.30","77.50","650000","52261400","528","81.00","81.10","45050000","89.20","73.00"
"1120406","3188","鑫龍騰","13.15","+0.20","12.95","13.15","12.95","423000","5530550","226","13.05","13.15","186309876","14.45","11.85"
"1120406","3191","和進","8.05","-0.05","8.02","8.30","7.95","40000","322300","22","8.02","8.14","87194761","8.85","7.25"
"1120406","3202","樺晟","16.45","+0.95","15.60","16.80","15.60","2059000","33734350","881","16.40","16.50","117164870","18.05","14.85"
"1120406","3205","佰研","42.30","+2.50","39.60","42.60","39.60","575000","24047350","420","42.20","42.30","32545631","46.50","38.10"
"1120406","3206","志豐","31.50","+0.05","31.60","31.60","31.30","43000","1352600","36","31.50","31.55","58916621","34.65","28.35"
"1120406","3207","耀勝","75.80","+1.90","74.10","76.60","73.80","1841000","138956900","1192","75.70","75.80","53770341","83.30","68.30"
"1120406","3211","順達","82.20","-0.50","82.70","82.80","81.80","1824000","150006400","973","82.20","82.30","150328521","83.70","68.60"
"1120406","3213","茂訊","52.90","+0.10","53.20","53.20","52.50","105000","5546700","76","52.80","53.00","58685547","58.10","47.65"
